Row_no	Genome	Length	N_contigs	N50	GC_content	Completeness	Contamination	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	Animal	Isolation_source	City	CheckM_quality	GUNC_pass	Species
1007	MGYG000266286	2225201	92	34384	56.94	92.74	1.85	GUT_GENOME188812	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SRS1820213	SRP093965	USA	North America	Human	gut	NA	High	yes	sp003516765
1008	MGYG000266564	2715757	80	54624	57.85	93.29	1.51	GUT_GENOME152898	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	-	-	China	Asia	Human	gut	NA	High	yes	sp000436735
1011	MGYG000267391	2525994	237	16989	61.05	93.96	2.34	GUT_GENOME215519	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS042966	SRP002163	USA	North America	Human	gut	NA	High	yes	sp002404795
1012	MGYG000267759	2066578	91	41507	59.84	93.96	1.48	GUT_GENOME276335	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS972227	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000436735
1013	MGYG000267941	3165461	139	43253	55.74	93.79	4.36	GUT_GENOME094269	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS608539	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp900545925
1014	MGYG000268050	2915298	299	16023	57.53	92.95	3.3	GUT_GENOME270590	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS971956	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
1015	MGYG000268377	3233896	86	79591	56.02	93.96	1.01	GUT_GENOME282382	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS436782	ERP005534	France	Europe	Human	gut	NA	High	yes	sp900545925
1016	MGYG000268602	2772636	265	16524	56.31	92.39	2.95	GUT_GENOME116567	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS396351	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp900545925
1027	MGYG000272422	2858885	80	73874	58	93.29	3.38	GUT_GENOME048159	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1647292	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp000432135
1031	MGYG000274282	2758433	211	18469	56.19	91.21	1.68	GUT_GENOME248497	MGYG000002710	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	SRS1846768	SRP094805	China	Asia	Human	gut	NA	High	yes	sp900549635
1032	MGYG000274483	2753851	299	13856	58.18	90.55	1.36	GUT_GENOME017161	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1997008	SRP100575	China	Asia	Human	gut	NA	High	yes	sp000432135
1033	MGYG000275383	2111158	221	14187	59.94	90.02	4.03	GUT_GENOME091158	MGYG000002034	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900553545	ERS608602	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp900553545
1034	MGYG000275477	2350028	170	23693	61.43	91.67	1.34	GUT_GENOME251792	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS746721	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp002404795
1035	MGYG000276446	2630083	234	18551	58.21	93.65	2.39	GUT_GENOME210087	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SRS1905727	SRP096283	USA	North America	Human	gut	NA	High	yes	sp900548625
1036	MGYG000276780	2599728	270	14176	58.69	91.41	2.77	GUT_GENOME093255	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS608526	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
1037	MGYG000277379	2076080	132	24600	59.82	91.58	2.68	GUT_GENOME122981	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS1138810	ERP015450	China	Asia	Human	gut	NA	High	yes	sp000436735
1040	MGYG000277651	2856690	311	14033	56.06	91.01	3.02	GUT_GENOME111880	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS328932	ERP003612	Denmark	Europe	Human	gut	NA	High	yes	sp900545925
1041	MGYG000277867	2774561	99	59487	58.32	93.96	3.69	GUT_GENOME246498	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066661	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
1042	MGYG000278586	3386124	115	61279	55.4	94.63	1.4	GUT_GENOME254361	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS746894	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp900545925
1043	MGYG000278596	2615079	111	39268	60.4	94.63	1.34	GUT_GENOME091511	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS608605	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp002404795
1048	MGYG000279812	2236601	284	10996	61.88	91.82	0.73	GUT_GENOME158303	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS634948	ERP009131	Canada	North America	Human	gut	NA	High	yes	sp002404795
1055	MGYG000281084	3357821	323	16713	55.66	92.76	4.75	GUT_GENOME104605	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS235612	ERP002469	Sweden	Europe	Human	gut	NA	High	yes	sp900545925
1056	MGYG000282348	2446826	148	25915	60.76	92.48	1.34	GUT_GENOME210473	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS1905868	SRP096283	USA	North America	Human	gut	NA	High	yes	sp002404795
1057	MGYG000282459	2903704	85	65985	57.87	92.62	1.7	GUT_GENOME255559	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS746771	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp000432135
1060	MGYG000283090	3096909	332	16171	58.11	92.23	2.01	GUT_GENOME122822	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1138788	ERP015450	China	Asia	Human	gut	NA	High	yes	sp000432135
1062	MGYG000283279	2227583	206	15883	61.76	91.05	0.97	GUT_GENOME089427	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS608576	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp002404795
1064	MGYG000285009	3002712	162	32864	57.84	94.63	2.68	GUT_GENOME283735	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS436733	ERP005534	France	Europe	Human	gut	NA	High	yes	sp000432135
1065	MGYG000285255	1997920	251	10749	59.61	92.73	3.69	GUT_GENOME135681	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	ERS199242	ERP002061	Spain	Europe	Human	gut	NA	High	yes	sp900548625
1066	MGYG000285324	2588996	236	20845	58.89	93.29	2.14	GUT_GENOME070892	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS396373	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp000432135
1067	MGYG000285529	2852366	167	34616	58.04	93.29	1.34	GUT_GENOME277789	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS972309	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
1075	MGYG000287234	2888801	340	13177	58.11	91.51	1.73	GUT_GENOME254465	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS746754	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp000432135
1080	MGYG000288319	2784497	223	17840	60.22	93.29	4.04	GUT_GENOME164590	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576042	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
1082	MGYG000288516	3159193	84	67551	57.38	93.96	1.68	GUT_GENOME094085	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS608510	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
1083	MGYG000289058	3063647	281	17387	55.81	93	2.85	GUT_GENOME286446	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS436807	ERP005534	Germany	Europe	Human	gut	NA	High	yes	sp900545925
1088	GCA_037242755.1	2191760	375	9270	59.66237179	91.55	2.91	GCA_037242755.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMN37825075	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp000436735
1091	GCA_958441795.1	2753684	72	73951	60.43496639	94.19	2.68	GCA_958441795.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA114062110	PRJEB62827	NA	NA	Cattle	gut	NA	High	yes	sp002404795
1092	GCA_934883035.1	2610088	210	41753	58.46108515	90.44	1.76	GCA_934883035.1	77133	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA13567023	PRJEB50699	NA	NA	Human	gut	NA	High	yes	sp000432135
1093	GCA_037373185.1	2247236	283	12936	61.6734513	91.94	1.01	GCA_037373185.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN37829440	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp002404795
1094	GCA_958437655.1	2041209	77	45429	59.37515463	91.41	1.51	GCA_958437655.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SAMEA114061202	PRJEB62838	NA	NA	Human	gut	NA	High	yes	sp900548625
1097	GCA_037252525.1	2874872	68	75487	56.14973467	92.95	1.34	GCA_037252525.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMN37825597	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp900545925
1099	GCA_938038515.1	3216720	98	67885	57.09300157	95.3	1.68	GCA_938038515.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA14084481	PRJEB51075	China	Asia	Human	gut	NA	High	yes	sp000432135
1100	GCA_025544195.1	3155843	48	130188	57.6050616	94.63	2.41	GCA_025544195.1	1879010	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMN18871205	PRJNA722408	UK	Europe	Human	gut	Norwich	High	yes	sp000432135
1102	GCA_905206565.1	2562893	73	64441	60.38387088	93.96	1.34	GCA_905206565.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA7846976	PRJEB37358	China	Asia	Human	gut	NA	High	yes	sp002404795
1103	GCA_934654745.1	1963952	95	32792	60.89492004	94.84	1.34	GCA_934654745.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp022779365	SAMEA13486111	PRJEB49206	Nepal	Asia	Human	gut	NA	High	yes	sp022779365
1104	GCA_030825425.1	2709401	42	94442	58.10537966	94.63	1.34	GCA_030825425.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMN31428358	PRJNA872116	USA	North America	Human	skin	NA	High	yes	sp000432135
1105	GCA_036751565.1	2511053	142	29180	58.76545826	93.69	2.68	GCA_036751565.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMN28747119	PRJNA843551	NA	NA	Human	gut	NA	High	yes	sp000432135
1106	GCA_934831715.1	3244524	49	128509	55.64347806	93.96	3.69	GCA_934831715.1	77133	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA13566058	PRJEB50699	NA	NA	Human	gut	NA	High	yes	sp900545925
1110	GCA_958447145.1	3207118	45	131707	55.70530925	94.63	0.67	GCA_958447145.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114062232	PRJEB62827	NA	NA	Human	gut	NA	High	yes	sp900545925
1113	GCA_034087285.1	2076187	178	16973	57.56880281	91.69	2.07	GCA_034087285.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMN37948565	PRJNA779404	Canada	North America	Pig	gut	Lacombe	High	yes	sp003516765
1114	GCA_934646005.1	2421099	32	105115	60.3393748	94.63	0.67	GCA_934646005.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp934646005	SAMEA13483369	PRJEB49206	Tanzania	Africa	Human	gut	NA	High	yes	sp934646005
1116	GCA_934875185.1	2941692	192	27116	55.87239473	90.54	1.01	GCA_934875185.1	77133	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA13567243	PRJEB50699	NA	NA	Human	gut	NA	High	yes	sp900545925
1119	GCA_030844295.1	2848123	95	67410	58.05851784	92.62	1.01	GCA_030844295.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMN36703686	PRJNA970820	USA	North America	Human	gut	NA	High	yes	sp000432135
1121	GCA_902493785.1	2100411	28	102796	58.8420552	91.61	0.67	GCA_902493785.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMEA5853755	PRJEB33885	UK	Europe	Human	gut	NA	High	yes	sp000436735
1122	GCA_018265385.1	2265342	145	20873	61.35237227	90.26	1.31	GCA_018265385.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN14944933	PRJNA593787	Austria	Europe	Human	gut	Vienna	High	yes	sp002404795
1123	GCA_037363235.1	2473150	244	14568	56.72098336	92.84	1.01	GCA_037363235.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	SAMN37829059	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp900549635
1124	GCA_959600795.1	2146934	59	57716	59.35603982	93.29	1.01	GCA_959600795.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMEA114122237	PRJEB63522	China	Asia	Human	gut	NA	High	yes	sp000436735
1125	GCA_958350915.1	2463124	125	32700	56.76421488	93.29	3.64	GCA_958350915.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	SAMEA114061856	PRJEB62825	China	Asia	Cattle	gut	NA	High	yes	sp900549635
1126	GCA_037248925.1	1983133	135	24344	57.16676592	91.21	1.34	GCA_037248925.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	SAMN37825446	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp900549635
1128	GCA_000432135.1	2538905	255	16972	58.40296466	91.61	1.68	GCA_000432135.1	1263002	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA3138494	PRJEB704	NA	NA	Human	gut	NA	High	yes	sp000432135
1129	GCA_022779365.1	2113722	56	68725	60.17489528	93.96	0.67	GCA_022779365.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp022779365	SAMN26526191	PRJNA629856	Canada	North America	Pig	gut	Lacombe	High	yes	sp022779365
1131	GCA_934882955.1	2925165	56	111939	55.9791162	93.96	1.68	GCA_934882955.1	77133	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA13567295	PRJEB50699	NA	NA	Human	gut	NA	High	yes	sp900545925
1134	GCA_934873185.1	2952130	114	208869	55.94723611	93.96	1.34	GCA_934873185.1	77133	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA13567181	PRJEB50699	NA	NA	Human	gut	NA	High	yes	sp900545925
1136	GCA_934630785.1	2745563	26	161283	57.97044176	92.62	0.67	GCA_934630785.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA13510805	PRJEB49206	Nepal	Asia	Human	gut	NA	High	yes	sp000432135
1137	GCA_028725385.1	1945265	176	15286	57.768119	90.11	2.24	GCA_028725385.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMN32799763	PRJNA857725	Canada	North America	Pig	gut	Lacombe	High	yes	sp003516765
1139	GCA_934631005.1	2377112	59	63097	61.7227964	93.96	1.34	GCA_934631005.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp934631005	SAMEA13494341	PRJEB49206	Tanzania	Africa	Human	gut	NA	High	yes	sp934631005
1143	GCA_934648025.1	1874801	276	8641	62.22559088	91.3	0.67	GCA_934648025.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA13491612	PRJEB49206	Tanzania	Africa	Human	gut	NA	High	yes	sp002404795
1150	GCA_025542035.1	2500518	25	151564	56.46204365	94.63	0.67	GCA_025542035.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp937967235	SAMN18871312	PRJNA722408	UK	Europe	Human	gut	Norwich	High	yes	sp937967235
1153	GCA_025993615.1	3996918	1	3996918	56.29154764	93.96	1.68	GCA_025993615.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMN31100337	PRJNA798244	NA	NA	Human	gut	NA	High	yes	sp000432135
1154	GCA_034117885.1	2228797	180	17744	61.5981626	93.14	1.34	GCA_034117885.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN37948984	PRJNA779404	Canada	North America	Pig	gut	Lacombe	High	yes	sp002404795
1155	GCA_900759595.1	1880249	103	25571	57.5399854	91.28	1.36	GCA_900759595.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMEA5280170	PRJEB31003	Austria	Europe	Human	gut	NA	High	yes	sp003516765
1159	GCA_022779855.1	2108259	234	13193	57.28764824	90.87	4.43	GCA_022779855.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMN26525672	PRJNA629856	Canada	North America	Pig	gut	Lacombe	High	yes	sp003516765
1160	GCA_028722805.1	2276964	138	23713	61.49355018	93.96	0.9	GCA_028722805.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN32799449	PRJNA857725	Canada	North America	Pig	gut	Lacombe	High	yes	sp002404795
1161	GCA_021624805.1	2626535	169	31550	58.84014813	94.36	3.87	GCA_021624805.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMN23483636	PRJNA678454	South_Africa	Africa	Human	gut	Bushbuckridge_Mpumalanga	High	yes	sp000432135
1162	GCA_037423665.1	2495594	89	41212	60.48015022	93.29	0.67	GCA_037423665.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN37830448	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp002404795
1165	GCA_022771045.1	2207565	196	16400	61.68457101	92.93	1.34	GCA_022771045.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN26525784	PRJNA629856	Canada	North America	Pig	gut	Lacombe	High	yes	sp002404795
1166	GCA_021622395.1	2093533	120	25582	59.61061191	97.21	1.34	GCA_021622395.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SAMN23482508	PRJNA678454	South_Africa	Africa	Human	gut	Soweto_Gauteng	High	yes	sp900548625
1169	GCA_959597965.1	2215809	94	38203	61.31634089	90.06	0.06	GCA_959597965.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA114122349	PRJEB63522	China	Asia	Human	gut	NA	High	yes	sp002404795
1170	GCA_963635105.1	2148865	76	39556	60.96581218	90.6	1.01	GCA_963635105.1	2212467	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA114584840	PRJEB68160	Cote_d'Ivoire	Africa	Chimpanzee	gut	NA	High	yes	sp002404795
1171	GCA_022774265.1	2358419	143	24536	61.31777263	90.6	2.52	GCA_022774265.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN26526068	PRJNA629856	Canada	North America	Pig	gut	Lacombe	High	yes	sp002404795
1172	GCA_958436235.1	3393008	64	135449	55.6220616	93.29	1.01	GCA_958436235.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114065030	PRJEB63158	China	Asia	Human	gut	NA	High	yes	sp900545925
1173	GCA_959022975.1	2970963	62	78252	57.96329338	93.96	2.01	GCA_959022975.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA114096171	PRJEB63310	South_Korea	Asia	Human	gut	NA	High	yes	sp000432135
1177	GCA_900545095.1	2537318	58	62585	58.52415819	95.97	1.01	GCA_900545095.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA4891393	PRJEB26432	NA	NA	Human	gut	NA	High	yes	sp000432135
1179	GCA_959024245.1	2282921	95	38855	56.89535468	92.35	2.01	GCA_959024245.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp937967235	SAMEA114096316	PRJEB63310	South_Korea	Asia	Human	gut	NA	High	yes	sp937967235
1181	GCA_902478585.1	2272062	31	128452	56.64827808	94.63	0.67	GCA_902478585.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp937967235	SAMEA5852215	PRJEB33885	NA	NA	Human	gut	NA	High	yes	sp937967235
1182	GCA_934648465.1	2635494	53	100346	56.48060667	94.63	0.67	GCA_934648465.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA13508067	PRJEB49206	Nepal	Asia	Human	gut	NA	High	yes	sp900545925
